id,customer_id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
28220,7760-OYPDY,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,80.65,144.15,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
28221,7639-LIAYI,2015-10-01,,Two year,Yes,Credit card (automatic),79.75,4217.8,DSL,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
28222,2954-PIBKO,2014-05-01,,Two year,Yes,Credit card (automatic),64.15,4254.1,DSL,Yes,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,0
28223,8012-SOUDQ,2016-07-01,,Month-to-month,Yes,Electronic check,90.25,3838.75,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,0
28224,9420-LOJKX,2018-09-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,1
28225,6575-SUVOI,2018-01-01,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,DSL,Yes,No,No,Yes,Yes,No,Female,1,Yes,No,Yes,0
28226,7495-OOKFY,2019-03-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,1
28227,4667-QONEA,2015-02-01,,One year,Yes,Credit card (automatic),74.85,4456.35,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,1,Yes,Yes,No,0
28228,1658-BYGOY,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,95.45,1752.55,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,1
28229,8769-KKTPH,2014-11-01,,One year,Yes,Credit card (automatic),99.65,6311.2,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
28230,5067-XJQFU,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
28231,3957-SQXML,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,,,,,,,,Female,0,Yes,Yes,Yes,0
28232,5954-BDFSG,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
28233,0434-CSFON,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
28234,1215-FIGMP,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,0
28235,0526-SXDJP,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,,0
28236,0557-ASKVU,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
28237,5698-BQJOH,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
28238,5122-CYFXA,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,0
28239,8627-ZYGSZ,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,0
28240,3410-YOQBQ,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
28241,3170-NMYVV,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,,,,,,,,Female,0,Yes,Yes,No,0
28242,7410-OIEDU,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
28243,2273-QCKXA,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
28244,0731-EBJQB,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,,,,,,,,Female,0,Yes,Yes,No,0
28245,1891-QRQSA,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
28246,8028-PNXHQ,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,,,,,,,,Male,0,Yes,Yes,Yes,0
28247,5630-AHZIL,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0
28248,2673-CXQEU,2015-06-01,,One year,No,Electronic check,110.5,6139.5,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
28249,6416-JNVRK,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,0
28250,5590-ZSKRV,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
28251,0191-ZHSKZ,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
28252,3887-PBQAO,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,,,,,,,,Female,0,Yes,Yes,Yes,0
28253,5919-TMRGD,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,1
28254,8108-UXRQN,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,,0
28255,9191-MYQKX,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,1
28256,9919-YLNNG,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
28257,0318-ZOPWS,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,,,,,,,,Female,0,Yes,No,No,0
28258,4445-ZJNMU,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,0
28259,4808-YNLEU,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,0
28260,1862-QRWPE,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,,,,,,,,Female,0,Yes,Yes,No,0
28261,2796-NNUFI,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,,,,,,,,Female,0,Yes,Yes,No,0
28262,3016-KSVCP,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,,0
28263,4767-HZZHQ,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
28264,2424-WVHPL,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,0
28265,7233-PAHHL,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
28266,6067-NGCEU,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
28267,9848-JQJTX,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
28268,8637-XJIVR,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,1
28269,9803-FTJCG,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
28270,0278-YXOOG,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,,,,,,,,Male,0,No,No,No,1
28271,3212-KXOCR,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,,,,,,,,Male,0,No,No,No,0
28272,4598-XLKNJ,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,1
28273,6380-ARCEH,2020-01-01,,Month-to-month,No,Mailed check,20.2,20.2,,,,,,,,Male,0,No,No,No,0
28274,3679-XASPY,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,,,,,,,,Female,0,Yes,Yes,No,0
28275,7123-WQUHX,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
28276,5386-THSLQ,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,,0
28277,3192-NQECA,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
28278,6180-YBIQI,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,DSL,No,No,No,No,No,No,Male,0,No,No,,0
28279,6728-DKUCO,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
28280,9750-BOOHV,2017-06-01,,One year,No,Mailed check,30.15,927.65,DSL,Yes,No,No,No,No,No,Female,0,No,No,,0
28281,8597-CWYHH,2016-07-01,,One year,No,Mailed check,94.35,3921.3,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
28282,2848-YXSMW,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,,,,,,,,Male,0,Yes,Yes,No,0
28283,0486-HECZI,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,1
28284,4549-ZDQYY,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
28285,5712-AHQNN,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,0
28286,4846-WHAFZ,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,1
28287,5256-SKJGO,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,,0
28288,3071-VBYPO,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,0
28289,9560-BBZXK,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,,0
28290,5299-RULOA,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
28291,8402-OOOHJ,2016-09-01,,Two year,No,Mailed check,20.65,835.15,,,,,,,,Female,0,No,No,No,0
28292,9445-ZUEQE,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
28293,1091-SOZGA,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
28294,2928-HLDBA,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,,,,,,,,Female,0,No,No,No,0
28295,0404-SWRVG,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,1
28296,6497-TILVL,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
28297,7219-TLZHO,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,,,,,,,,Female,0,Yes,Yes,No,0
28298,4622-YNKIJ,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
28299,4412-YLTKF,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,1
28300,6734-PSBAW,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,,,,,,,,Male,0,Yes,No,Yes,0
28301,3930-ZGWVE,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,,,,,,,,Male,0,No,No,No,0
28302,2639-UGMAZ,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,,0
28303,2876-GZYZC,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
28304,6207-WIOLX,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,,1
28305,8587-XYZSF,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
28306,3091-FYHKI,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,DSL,No,No,No,No,No,Yes,Male,0,No,No,,1
28307,2372-HWUHI,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
28308,7799-LGRDP,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,,,,,,,,Female,0,No,No,Yes,0
28309,7850-VWJUU,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,0
28310,3774-VBNXY,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,,,,,,,,Female,0,Yes,Yes,No,0
28311,6217-KDYWC,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,,,,,,,,Male,0,No,Yes,No,0
28312,0390-DCFDQ,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1
28313,3146-MSEGF,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,0
28314,4080-OGPJL,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,1
28315,1095-WGNGG,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,0
28316,2636-SJDOU,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,0
28317,1131-QQZEB,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,,,,,,,,Male,1,Yes,No,Yes,0
28318,5716-EZXZN,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
28319,6837-BJYDQ,2019-11-01,,One year,No,Mailed check,19.6,61.35,,,,,,,,Male,0,No,No,No,0
28320,2135-RXIHG,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
28321,6440-DKQGE,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,0
28322,3466-BYAVD,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,0
28323,3780-YVMFA,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
28324,3874-EQOEP,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
28325,1679-JRFBR,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
28326,9073-ZZIAY,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
28327,3077-RSNTJ,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,,,,,,,,Female,0,Yes,Yes,No,0
28328,6551-GNYDG,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,0
28329,9167-APMXZ,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,0
28330,2749-CTKAJ,2018-04-01,,One year,No,Mailed check,20.15,419.9,,,,,,,,Male,0,Yes,Yes,No,0
28331,6371-NZYEG,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,0
28332,7554-NEWDD,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,,,,,,,,Male,0,No,No,Yes,0
28333,8992-VONJD,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,0
28334,0867-MKZVY,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,1
28335,4482-EWFMI,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
28336,4648-YPBTM,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,0
28337,2907-ILJBN,2019-03-01,,One year,No,Mailed check,20.6,233.9,,,,,,,,Female,0,Yes,Yes,No,0
28338,6345-FZOQH,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,,,,,,,,Male,0,Yes,No,No,0
28339,3376-BMGFE,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
28340,5997-OPVFA,2014-02-01,,Two year,Yes,Bank transfer (automatic),89.05,6254.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
28341,3445-HXXGF,2015-03-01,2020-01-01,Month-to-month,Yes,Electronic check,45.3,2651.2,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,,1
